"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","mass_g","parental_care","repo_type","mobility","trophic_level","habitat_ecology","habitat","min_max","met_type","animal","met_type.1"
"Bonasa_umbellus","Aves",1.57643312101911,1,0.2965,0.296872225855527,3.44403271891634,1.57643312101911,2,5,8,0.728637727184994,0.0140303289357875,0.020692887041162,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",8,"endo","Bonasa_umbellus","endo"
"Bonasa_umbellus","Aves",1.74952919020716,1,0.1995,0.205597443630537,3.78743445900132,1.74952919020716,2,5,10,0.725330524963992,0.0129475310927318,0.0225329218623005,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",10,"endo","Bonasa_umbellus","endo"
"Bonasa_umbellus","Aves",2.21113689095128,1,0.393,0.395762150109461,4.04412969977099,2.21113689095128,2,7,14,0.74119132146228,0.0353388774957352,0.0238251451395508,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",14,"endo","Bonasa_umbellus","endo"
"Bonasa_umbellus","Aves",1.7118320610687,1,0.106,0.11380182645495,4.20745465546053,1.7118320610687,2,5,10,0.720581504856554,0.0067905469957804,0.0228001339417863,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",10,"endo","Bonasa_umbellus","endo"
"Bonasa_umbellus","Aves",1.54308943089431,1,0.1455,0.149947321283288,3.55552178142157,1.54308943089431,2,4,9,0.750632729048073,0.00665517469965451,0.0225482699661731,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",9,"endo","Bonasa_umbellus","endo"
"Bonasa_umbellus","Aves",1.5473321858864,1,0.5515,0.536481007208325,3.81287710377719,1.5473321858864,2,5,9,0.730319251276762,0.027777352798737,0.0224039193390879,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",9,"endo","Bonasa_umbellus","endo"
"Bostrychia_hagedash","Aves",3.84615384615385,3,0.28728,0.194951573811428,7.08873473797576,3.84615384615385,7,11,24,0.664152656455485,0.0260328245250898,0.0216056054328072,1245.25,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",24,"endo","Bostrychia_hagedash","endo"
"Buteo_solitarius","Aves",3.25,4,0.28,0.192158048068385,13.5980268480822,8.33333333333333,4,16,46,0.667116548783967,0.0131578649038006,0.0486536114166624,505,"yes","oviparous","volant","carnivore","terrestrial","terrestrial",46,"endo","Buteo_solitarius","endo"
"Buteo_solitarius","Aves",14.6666666666667,4,0.17,0.121123451478508,15.5809481360344,16.6666666666667,4,48,111,0.711149233895853,0.0272539993560968,0.02555545824545,505,"yes","oviparous","volant","carnivore","terrestrial","terrestrial",111,"endo","Buteo_solitarius","endo"
"Buteo_solitarius","Aves",14.6666666666667,4,0.1,0.0797398124265367,18.4637001552129,16.6666666666667,4,48,111,0.711149233895853,0.0160317643271157,0.02555545824545,505,"yes","oviparous","volant","carnivore","terrestrial","terrestrial",111,"endo","Buteo_solitarius","endo"
"Buteo_solitarius","Aves",9.33333333333333,4,0.23,0.16095771209611,16.544528413607,16.6666666666667,4,40,103,0.690082406424807,0.0229826288890324,0.0530356629011119,505,"yes","oviparous","volant","carnivore","terrestrial","terrestrial",103,"endo","Buteo_solitarius","endo"
"Calidris_temminckii","Aves",3.27868852459016,1,0.062,0.0700456648550444,6.64066606541624,3.27868852459016,3,10,20,0.716200596592179,0.00895708519740146,0.0219701045524046,25.7,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",20,"endo","Calidris_temminckii","endo"
"Calidris_temminckii","Aves",3.27868852459016,1,0.213,0.216610451861369,4.9876258344084,3.27868852459016,3,10,20,0.721531894423076,0.0287272439676616,0.0219701045524046,25.7,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",20,"endo","Calidris_temminckii","endo"
"Calyptorhynchus_lathami","Aves",8.03448275862069,3,0.2324,0.17118290039515,11.8523807483421,11.4942528735632,3,30,73,0.701828962012618,0.0286489950097846,0.0350209101434232,431.975,"yes","oviparous","volant","herbivore","arboreal","terrestrial",73,"endo","Calyptorhynchus_lathami","endo"
"Calyptorhynchus_lathami","Aves",8.03448275862069,5,0.296,0.170327979420922,13.8766938362444,11.4942528735632,5,30,73,0.702334533557593,0.0304203610778862,0.0350209101434232,431.975,"yes","oviparous","volant","herbivore","arboreal","terrestrial",73,"endo","Calyptorhynchus_lathami","endo"
"Centrocercus_minimus","Aves",1.616675,3.00000000000003,0.44,0.206534095662132,4.17101034932628,1.9375,4,5,9,0.761481982164555,0.0122407021180886,0.0220875785675248,1650,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",9,"endo","Centrocercus_minimus","endo"
"Centrocercus_minimus","Aves",1.697,3.00000000000003,0.44,0.232145718335202,5.47835852164959,2.5,4,6,13,0.710891087936233,0.0116995199179059,0.0278350897556901,1650,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",13,"endo","Centrocercus_minimus","endo"
"Ciconia_ciconia","Aves",3.42968348824492,2,1.66152585,0.740924462153685,4.80199377634183,5.98650746067765,2,14,35,0.690380138176687,0.144373577813152,0.0376292183509088,3350,"yes","oviparous","volant","carnivore_scavanger","terrestrial","terrestrial",35,"endo","Ciconia_ciconia","endo"
"Setophaga_cerulea","Aves",1.65217391304348,1,0.845,0.810233462593399,5.24994208170273,1.65217391304348,2,5,12,0.723104113718628,0.0463414886046343,0.0261173977153051,9.05,"yes","oviparous","volant","insectivore","arboreal","terrestrial",12,"endo","Setophaga_cerulea","endo"
"Thalassarche_melanophris","Aves",3.01087987275544,9.81895669962486,0.067592,0.0463079596959972,53.210137925776,14.9251930492177,10,10,63,0.527152177982041,0.000428670581118914,0.0551898721488492,3440,"yes","oviparous","volant","carnivore-scavanger","pelagic","marine",63,"endo","Thalassarche_melanophris","endo"
"Falco_naumanni","Aves",2.17148760330579,2,1.86,0.738867404223297,3.8253922548242,3.4435261707989,2,8,19,0.694106062085817,0.124898140090372,0.0304152259469719,152.5,"yes","oviparous","volant","carnivore","terrestrial","terrestrial",19,"endo","Falco_naumanni","endo"
"Falco_peregrinus","Aves",2.31407363160083,2,0.355831958828354,0.286636353086337,10.0623737725465,5.83783783783784,5,11,35,0.625562906630201,0.015675971470178,0.0477479994682622,827.25,"yes","oviparous","volant","carnivore","aerial","terrestrial",35,"endo","Falco_peregrinus","endo"
"Falco_peregrinus","Aves",3.3664,3,0.664,0.33420280295184,6.73899185680751,5,3,12,30,0.703617656012331,0.0501751587719983,0.0325405110745607,827.25,"yes","oviparous","volant","carnivore","aerial","terrestrial",30,"endo","Falco_peregrinus","endo"
"Forpus_passerinus","Aves",1.84542956537126,2.44903030208392,0.26334474799865,0.188544084699514,8.22450055094388,2.25874762194325,2,6,12,0.664054942709378,0.00723127304772911,0.0247899608895435,24,"yes","oviparous","volant","herbivore","terrestrial","terrestrial",12,"endo","Forpus_passerinus","endo"
"Fulmarus_glacialis","Aves",12.2588235294118,9.00000000000001,0.06775,0.0453537285596896,23.2479964118644,11.7647058823529,9,36,80,0.721390620712598,0.00753430531698219,0.0170526770934085,785,"yes","oviparous","volant","carnivore-scavanger","pelagic","marine",80,"endo","Fulmarus_glacialis","endo"
"Gavia_immer","Aves",3.3125,1,0.3775,0.300877705278569,14.8508628380593,3.3125,2,18,65,0.640293088374405,0.00799816256653191,0.0606633969513632,4400,"yes","oviparous","volant","omnivore","semiaquatic","freshwater",65,"endo","Gavia_immer","endo"
"Gavia_immer","Aves",3.25,1,0.395,0.336666666666667,14.1475249374509,3.25,2,18,65,0.640293088374405,0.0092542655262137,0.060998638068407,4400,"yes","oviparous","volant","omnivore","semiaquatic","freshwater",65,"endo","Gavia_immer","endo"
"Gavia_immer","Aves",3.375,1,0.36,0.260884974539943,15.7920669788711,3.375,2,19,65,0.640293088374405,0.00666026685598713,0.0603282382357464,4400,"yes","oviparous","volant","omnivore","semiaquatic","freshwater",65,"endo","Gavia_immer","endo"
"Gyps_coprotheres","Aves",8.91954022988506,4,0.314985,0.190568784446069,11.9040376605605,11.4942528735632,5,31,74,0.705858300363799,0.0397522895068455,0.0303466609134142,7862,"yes","oviparous","volant","scavanger","terrestrial","terrestrial",74,"endo","Gyps_coprotheres","endo"
