species,Taxonomic_group,body_mass_g,no_clutch_year,repo_size_g,mass_specific_reproductive_output_g_g,mass_specific_metabolic_rate_w_kg,mode_of_life,IUCN_statues,clutch_no
Clemmys_guttata,Reptilia,165.4,1.2,6.6,0.205,NA,demersal,E,4.29
Coragyps_atratus,Aves,2080.5,1,70,0.067,NA,volant,LC,2
Crocodylus_johnsoni,Reptilia,19500,1,69.7,0.045,0.139,demersal,LC,12.70014347
Cryptophis_nigrescens,Reptilia,1465.5,,2.3,NA,NA,terrestrial,NA,4.3
Cyprinus_carpio,Actinopterygii,542.6,,,NA,0.099,demersal,NA,
Drymarchon_couperi,Reptilia,7118,1,63,0.071,NA,terrestrial,LC,8
Eidolon_helvum,Mammalia,280.4,1,49.14,0.182,NA,volant,NT,1.04
Elephas_maximus,Mammalia,3220000,0.23,100038.9,0.007,0.636,terrestrial,E,1
Emydura_macquarii,Reptilia,1740,2.5,10.075,NA,NA,demersal,NA,13.2
Esox_lucius,Actinopterygii,1073.8,,0.006,NA,0.185,demersal,LC,
Falco_naumanni,Aves,152.5,1,16,0.441,NA,volant,LC,4.2
Falco_peregrinus,Aves,827.3,1,47.1,0.199,NA,volant,LC,3.5
Forpus_passerinus,Aves,24,1,101,0.09,NA,volant,LC,1
Fulmarus_glacialis,Aves,785,1,101,0.127,5.255,volant,LC,1
Gavia_immer,Aves,4400,1,167,0.076,NA,volant,LC,2
Genypterus_blacodes,Actinopterygii,5482,,0.005,NA,NA,demersal,NA,1200000
Gorilla_beringei,Mammalia,139842,0.3,2077.5,0.005,NA,terrestrial,CE,1
Gyps_coprotheres,Aves,7862,1,248,0.032,NA,volant,E,1
Haliaeetus_albicilla,Aves,4793,1,132.5,0.055,NA,volant,LC,2
Haliotis_laevigata,Gastropoda,45.7,,0.000006,NA,NA,sessile,NA,
Haliotis_rufescens,Gastropoda,579.3,,0.001,NA,NA,sessile,NA,
Himantopus_novaezelandiae,Aves,161,1,21.8,0.542,NA,volant,CE,4
Hippocamelus_bisulcus,Mammalia,69620.4,1,3575.62,0.051,NA,terrestrial,E,1
Hirundo_rustica,Aves,19,1.8,1.9,0.809,16.304,volant,LC,4.495
Homo_sapiens,Mammalia,62035,0.3,3313,0.016,1.171,terrestrial,LC,1
Hoplocephalus_bungaroides,Reptilia,279,0.5,5.5,0.069,NA,terrestrial,V,7
Isurus_oxyrinchus,Elasmobranchii,208088.8,0.33,2513,0.056,0.519,pelagic,V,14
Jynx_torquilla,Aves,35.9,1.5,2.7,0.96,11.268,volant,LC,8.5
Kinosternon_flavescens,Reptilia,331.2,1,4.84,0.07,NA,semi_aquatic,LC,4.78
Kinosternon_integrum,Reptilia,474.4,3,6.64,0.21,NA,semi_aquatic,LC,5
Kinosternon_subrubrum,Reptilia,154.7,1.1,4.09,0.087,0.309,semi_aquatic,LC,3
Lagopus_leucura,Aves,351,1,20,0.342,NA,volant,LC,6
Lagopus_muta,Aves,521,1,20,0.269,NA,volant,LC,7
Lontra_canadensis,Mammalia,8087.4,0.94,140,0.043,NA,semi_aquatic,LC,2.67
Lycalopex_culpaeus,Mammalia,13000,1,167.99,0.052,2.1,terrestrial,LC,4
Macaca_mulatta,Mammalia,6614,1,473.54,0.072,1.952,arboreal,LC,1
Maccullochella_peelii,Actinopterygii,2594.7,,0.01,NA,0.065,demersal,CE,
Macquaria_ambigua,Actinopterygii,3821.5,,0.03,NA,NA,demersal,NA,
Macropus_eugenii,Mammalia,5037.2,1,0.4345,0.001,1.618,terrestrial,LC,1.005
Malaclemys_terrapin,Reptilia,803,1.5,8.36,0.133,NA,demersal,LR,8.5
Marmota_flaviventris,Mammalia,3709.7,0.97,33.8,0.039,2,semi_fossorial,LC,4.44
Martes_pennanti,Mammalia,3175,1,34.78,0.032,NA,terrestrial,LC,2.92
Milvus_migrans,Aves,828.5,1,56,0.169,NA,volant,LC,2.5
Mirounga_leonina,Mammalia,1400000,0.98,39655.93,0.028,NA,pelagic,LC,1
Mustela_erminea,Mammalia,110.3,1,2.3,0.141,8.254,semi_fossorial,LC,6.755
Mya_arenaria,Bivalvia,74,,0.0000003,NA,0.077,sessile,NA,
Nuttallia_obscurata,Bivalvia,9.5,,0.0000002,NA,NA,sessile,NA,
Odocoileus_virginianus,Mammalia,65320,1,3000,0.079,1.4,terrestrial,LC,1.71
Oncorhynchus_tshawytscha,Actinopterygii,4600,,0.212,NA,NA,pelagic,NA,
Onychogalea_fraenata,Mammalia,5226,1.89,1566.44,0.567,NA,terrestrial,V,1
Ovis_canadensis,Mammalia,69125,1,4333.335,0.065,2.008,terrestrial,LC,1.03
Pan_troglodytes,Mammalia,44983.5,0.2,1745.02,0.008,1.495,arboreal,E,1.075
Panthera_pardus,Mammalia,53075,1,550,0.022,NA,terrestrial,V,2.14
Papio_cynocephalus,Mammalia,17851.3,0.805,319.48,0.014,3.078,terrestrial,LC,1
Paramuricea_clavata,Anthozoa,3255,,0.0004,NA,0.15,sessile,NA,
Passer_domesticus,Aves,27.7,3.25,2.8,1.429,15.942,volant,LC,4.35
Pernis_apivorus,Aves,762.5,1,49,0.129,3.626,volant,LC,2
Phacochoerus_aethiopicus,Mammalia,73303.76,1.305,682.365,0.041,NA,terrestrial,LC,3.365
Phalacrocorax_auritus,Aves,1876.5,1,48,0.09,4.129,volant,LC,3.5
Phocarctos_hookeri,Mammalia,273500,1.05,7000,0.027,NA,pelagic,E,1
Phoebastria_immutabilis,Aves,3050,0.90037594,167.2,0.049,NA,volant,NT,1
Phrynosoma_cornutum,Reptilia,27.4,1.5,0.37,0.433,0.922,terrestrial,LC,21.3
Physeter_macrocephalus,Mammalia,10100000,0.23,774000,0.018,NA,pelagic,V,1
Picoides_borealis,Aves,48,1,4.3,0.292,NA,volant,NT,3.26
Podocnemis_expansa,Reptilia,25800,1,37.2,0.132,NA,demersal,LR,91.5
Podocnemis_lewyana,Reptilia,9599,,23.1,NA,NA,demersal,CE,16.5
Propithecus_edwardsi,Mammalia,6569,0.62,134.995,0.013,NA,arboreal,E,1.01
Propithecus_verreauxi,Mammalia,3588.3,1,77.64,0.022,1.238,arboreal,E,1.02
Rangifer_tarandus,Mammalia,101250,1,5773.67,0.063,1.4,terrestrial,,1.1
Salvelinus_confluentus,Actinopterygii,3102.7,,0.09,NA,NA,demersal,V,
Sceloporus_arenicolus,Reptilia,6.6,2,0.50909,0.604,NA,terrestrial,V,3.9
Sceloporus_grammicus,Reptilia,5.64,1,0.32,0.34,NA,terrestrial,LC,6
Setophaga_cerulea,Aves,9.05,1,1.49,0.659,NA,volant,V,4
Stellifer_illecebrosus,Actinopterygii,20.8,,,NA,NA,demersal,LC,
Sterna_hirundo,Aves,124,1,21,0.423,NA,volant,LC,2.5
Sternula_antillarum,Aves,46.85,1,9.9,0.423,NA,volant,LC,2
Strix_occidentalis,Aves,609.5,1,47,0.154,4.685,volant,NT,2
Tamiasciurus_hudsonicus,Mammalia,210.8,1.725,7,0.241,6.076,arboreal,LC,4.2
Thalassarche_melanophris,Aves,3440,0.84,258,0.063,NA,volant,LC,1
Turdus_torquatus,Aves,109,2,7.4,0.611,NA,volant,LC,4.5
Tympanuchus_cupido,Aves,885.5,1,24.5,0.332,NA,volant,V,12
Umbonium_costatum,Gastropoda,2.3,2,0.000002,0.034,NA,sessile,NA,19550
Urocitellus_armatus,Mammalia,310.4,1,60.3,1.059,2.544,semi_fossorial,LC,5.45
Urocitellus_columbianus,Mammalia,468.6,1,9.41,0.071,NA,semi_fossorial,LC,3.54
Urocyon_littoralis,Mammalia,1906.8,1.05,100,0.131,NA,terrestrial,NT,2.385
Ursus_americanus,Mammalia,132405,0.4,288.07,0.002,0.658,terrestrial,LC,2.465
Ursus_maritimus,Mammalia,371703.8,0.4,649.625,0.001,0.686,terrestrial,V,1.66
Vermivora_chrysoptera,Aves,8.9,1,1.47,0.743,NA,volant,NT,4.5
Vipera_aspis,Reptilia,161,,6.3,NA,0.1,terrestrial,LC,11.5
Xenosaurus_grandis,Reptilia,23.59,,,NA,NA,terrestrial,V,
Xenosaurus_platyceps,Reptilia,19.6,,,NA,NA,terrestrial,E,
Zalophus_californianus,Mammalia,158597.4,0.89,6758.57,0.042,2.438,pelagic,LC,1.1
Zingel_asper,Actinopterygii,3.2,,0.005,NA,NA,demersal,CE,
