species,taxonomic_class,common_name,max_longevity,mass_g,metabolic_rate_Wg,trophic_level,habitat,habitat_ecology,repo_type,parental_care,mobility,clutch_no,no_clutch_year,repo_size_g,fec_mat_ok,stage_skipped,fec_mat,refs,notes,,
Forpus_passerinus,Aves,Green-rumped parrotlet,11.6,24,,herbivore,terrestrial,terrestrial,oviparous,yes,volant,1,1,101,,,discarded species,Myhrvold et al 2015; Handbook of birds of the world,,,
Fulmarus_glacialis,Aves,Northern Fulmar,51,785,,carnivore-scavanger,marine,pelagic,oviparous,yes,volant,1,1,101,yes,yes,"the average number of fledged offspring per AOS, where the number of AOS was the number of nests estimated with the robust design spatial occupancy  model",Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Gavia_immer,Aves,Great Northern Loon,24.08333333,4400,,omnivore,freshwater,semiaquatic,oviparous,yes,volant,2,1,167,,,only_has a dimension of 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Gavia_immer,Aves,Great Northern Loon,24.08333333,4400,,omnivore,freshwater,semiaquatic,oviparous,yes,volant,2,1,167,,,only_has a dimension of 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Genypterus_blacodes,Actinopterygii,Pink cusk eel,30,5482,,carnivore,marine,bathydemersal,oviparous,no,m_benthic,"1,200,000",,0.005,no,yes,3-year-old recruits,fishbase Anage,egg mass calculated from egg diamter of 2.1mm (Graham 1940) and a conversion estimate of 0.973 for Kindsvater et al 2016,,
Gorilla_beringei,Mammalia,Eastern Gorilla,60.1,139842,,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,0.3,2077.5,,,,,,,
Gyps_coprotheres,Aves,Cape Vulture,41.4,7862,,scavanger,terrestrial,terrestrial,oviparous,yes,volant,1,1,248,yes,yes,"fecundity, measured as large nestlings per adult pair p.a. is likely to be, at most 0.64, i.e. 0.32 females per female p.a. ",Myhrvold et al 2015; Handbook of birds of the world,?,,
Haliaeetus_albicilla,Aves,White-tailed Eagle,42,4793,,carnivore-scavanger,terrestrial,pelagic,oviparous,yes,volant,2,1,132.5,yes,yes,we used the mean reproduction rate of 0.4 chicks per breeding attempt reported in Struwe-Juhl (2003),Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Haliotis_laevigata,Gastropoda,Smooth Australian abalone,,45.7,,herbivore,marine,benthic,oviparous,no,sessile,,,0.000006,,,gets dropped dur to unrelistic net reporductive rate,Shepherd 1973; Kube et al 2007,mass includes shell. Meat weigth available egg mass from 222um diamter (GRAHAM et al 2006) and a conversion of 0.973 for Kindsvater et al 2016 see Anderson 1978 for metabolism,,
Haliotis_rufescens,Gastropoda,Red abalone,,579.3206336,,herbivore,marine,benthic,oviparous,no,sessile,,,0.001,yes,no,Fecundity was defined as the number of mature eggs present in the ovary,Rogers-Bennett et al 2007,egg size from dired wiegh multiplied by five from Buchal et al 1998,,
Himantopus_novaezelandiae,Aves,Black Stilt,12.16666667,161,,carnivore,freshwater,semiaquatic,oviparous,yes,volant,4,1,21.8,yes,yes,number of fledglings produced per adult female,Myhrvold et al 2015; Handbook of birds of the world,?,,
Hippocamelus_bisulcus,Mammalia,Guemal,10.73333333,69620.405,,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,1,3575.62,yes,yes,fertility by some survival0 term,Myhrvold et al 2015; Healy et al 2014,,,
Hirundo_rustica,Aves,Barn swallow,16,19,,insectivore,terrestrial,aerial,oviparous,yes,volant,4.495,1.8,1.9,,,matrix only 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Homo_sapiens,Mammalia,Humnas,122.5,62035,0.001183,omnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,0.3,3313,need to check,,,All data from Anage and references therin,,,
Hoplocephalus_bungaroides,Reptilia,Broad-headed Snake,19,279,,carnivore,terrestrial,terrestrial,viviparous,no,terrestrial,7,0.5,5.5,yes,yes,recruitment rate per individual,Myhrvold et al 2015; Healy et al in prep venom evolution,offspring size from Webb and Shine 1998 no evidence of parental care,,
Isurus_oxyrinchus,Elasmobranchii,Shortfin Mako,32,208088.8,,carnivore,marine,pelagic,viviparous,no,m_pelagic,14,0.33,2513,yes,no,"fi represents the stage-specific per-capita fecundity and is determined by  litter size, sex ratio and the densities of male and females",adult body size from common length of  offspring size from 65cm fishbase,,,
Jynx_torquilla,Aves,Eurasian wryneck,10,35.86666667,,insectivore,terrestrial,terrestrial,oviparous,yes,volant,8.5,1.5,2.7,,,matrix only 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Kinosternon_flavescens,Reptilia,Yellow Mud Turtle,39.93333333,331.15,,omnivore,freshwater,semiaquatic,oviparous,no,semiaquatic,4.78,1,4.84,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Kinosternon_integrum,Reptilia,Mexican Mud Turtle,18.5,474.4,,omnivore,freshwater,semiaquatic,oviparous,no,semiaquatic,5,3,6.64,,,,,,,
