"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","mass_g","parental_care","repo_type","mobility","trophic_level","habitat_ecology","habitat","min_max","met_type","animal","met_type.1"
"Urocitellus_columbianus","Mammalia",2.413654528,3,0.6005,0.268923405499901,4.29007439790927,2.028,4,7,12,0.741862506972979,0.0348800734015514,0.0191301241462798,468.635,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",12,"endo","Urocitellus_columbianus","endo"
"Urocitellus_columbianus","Mammalia",3.17928290449438,3,0.231,0.171080258671827,5.83096281148058,2.90449438202247,4,9,18,0.708705988494672,0.0208484902848836,0.0201119657927785,468.635,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",18,"endo","Urocitellus_columbianus","endo"
"Alces_alces","Mammalia",6.1435801985371,3,0.6631,0.347525664016262,9.16229411017807,10.9260710553814,5,22,45,0.639394265659262,0.0812964691865923,0.0358207888606546,351000,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",45,"endo","Alces_alces","endo"
"Alces_alces","Mammalia",4.15404411764706,3,1.0909,0.484050920420193,9.73564906128692,12.3551693404635,5,21,47,0.608888475221644,0.0753388365714423,0.0497768381965285,351000,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",47,"endo","Alces_alces","endo"
"Alces_alces","Mammalia",5.13437943923614,2,0.244,0.198954114157817,5.5591063540639,6.66835393425184,11,13,16,0.529300305944353,0.0555700784582943,0.0148753206209329,351000,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",16,"endo","Alces_alces","endo"
"Alces_alces","Mammalia",2.809037026704,2,0.506666666666667,0.316321739276506,5.67047326285735,4.2070628528,7,9,15,0.687497624711754,0.0596615649782027,0.0239422835948443,351000,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",15,"endo","Alces_alces","endo"
"Canis_lupus","Mammalia",4.35244666085963,2,1.07,0.596021650606155,4.30411385972568,5.49581419813054,10,11,11,0.402946408031875,0.200183071251528,0.0133756540114209,29190.755,"yes","viviparous","terrestrial","carnivore","terrestrial","terrestrial",11,"endo","Canis_lupus","endo"
"Cebus_capucinus","Mammalia",21.4243266544877,7,0.0651670191707705,0.0726300119416068,29.3627028689581,27.1129188443837,8,76,185,0.699017122669748,0.0145307904919759,0.0260732824748958,2655,"yes","viviparous","arboreal","omnivore","arboreal","terrestrial",185,"endo","Cebus_capucinus","endo"
"Cercopithecus_mitis","Mammalia",19.6419182959507,8,0.103366232030056,0.0841143999673725,21.4523012158539,17.6589765600908,9,55,120,0.716114245319249,0.026628287406841,0.0151998064100106,6116.5,"yes","viviparous","arboreal","omnivore","arboreal","terrestrial",120,"endo","Cercopithecus_mitis","endo"
"Cervus_elaphus","Mammalia",10.3398439691185,3,0.169058823529412,0.145576820675206,8.01500228660175,9.72411039583841,19,18,20,0.482659158282613,0.0666070114378123,0.00649332026518919,160166.665,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",20,"endo","Cervus_elaphus","endo"
"Cervus_elaphus","Mammalia",2.01364502530978,2,0.760933333333333,0.39933055660322,8.00285011500771,6.21868113686978,16,10,24,0.579058648434101,0.0261163613227351,0.0392665597104185,160166.665,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",24,"endo","Cervus_elaphus","endo"
"Cervus_elaphus","Mammalia",2.30506791085743,2,0.704933333333333,0.387208686099112,8.24381946876374,7.05442113976991,16,12,26,0.581435898514765,0.0301676723972624,0.0410541518100533,160166.665,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",26,"endo","Cervus_elaphus","endo"
"Cervus_elaphus","Mammalia",3.81748706525954,2,0.415733333333333,0.284574818458271,7.63646944348367,7.95900300920774,16,17,29,0.613645446428938,0.0400139293078061,0.0342011128170712,160166.665,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",29,"endo","Cervus_elaphus","endo"
"Eidolon_helvum","Mammalia",3.52941176470588,2,0.905,0.500260201486066,5.38663960460987,5.88235294117647,3,14,35,0.701829074503683,0.0816160904603835,0.0365808004822064,280.43,"yes","viviparous","volant","herbivore","arboreal","terrestrial",35,"endo","Eidolon_helvum","endo"
"Elephas_maximus","Mammalia",34.6514920500674,16,0.219444444444444,0.0799739771104174,31.7315451188107,35.1703548877709,60,72,109,0.628374901094095,0.0546750875445768,0.0159544152442949,3220000,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",109,"endo","Elephas_maximus","endo"
"Gorilla_beringei","Mammalia",41.360215147634,10,0.050972337037993,0.0518450602450623,38.8165862010602,42.8860879771185,11,127,294,0.710613328091817,0.014495342446464,0.0174358107289578,139842,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",294,"endo","Gorilla_beringei","endo"
"Macaca_mulatta","Mammalia",22.2106836425,4,0.26325,0.193548319943548,14.6067239466237,23.6,5,69,159,0.708127254275311,0.0638166593993261,0.0203676009681084,6614,"yes","viviparous","arboreal","herbivore","semiarboreal","terrestrial",159,"endo","Macaca_mulatta","endo"
"Macaca_mulatta","Mammalia",18.4463132104151,4,0.283,0.191409361083569,13.3891956788226,18.9433962264151,5,56,128,0.710739865250092,0.0614135483049384,0.0197088072654176,6614,"yes","viviparous","arboreal","herbivore","semiarboreal","terrestrial",128,"endo","Macaca_mulatta","endo"
