species,taxa_name,mean_life_expect,life_time_La,mean_repo_rate,gen_time,H_entropy,S_entropy,M_rep_lif_exp,matrix_size,surv_95,surv_99,gini,first_stage,lambda_pop,mass_g,parental_care,repo_type,mobility,trophic_level,habitat_ecology,habitat,min_max,met_type,FMR_mass_grams,FMR_kJ_day,FMR_kJ_day_g,met_rate_Wg,iucn_statues,iucn_pop,animal,met_notes,,,
Bostrychia_hagedash,Aves,3.846153846,3,0.194951574,7.088734738,1.161949851,2.312941168,3.846153846,7,11,17,0.547032195,1 year,0.934951574,1245.25,yes,oviparous,volant,insectivore,terrestrial,terrestrial,17,endo,,,,,LC,increasing,Bostrychia_hagedash,,,,
Buteo_solitarius,Aves,3.25,4,0.192158048,13.59802685,1.842397203,2.879518526,8.333333333,4,16,28,0.516689275,1st year survival,0.948588794,505,yes,oviparous,volant,carnivore,terrestrial,terrestrial,28,endo,,,,,NT,stable,Buteo_solitarius,,,,
Buteo_solitarius,Aves,14.66666667,4,0.121123451,15.58094814,1.134951898,3.715366818,16.66666667,4,48,74,0.587081033,1st year survival,1.047244347,505,yes,oviparous,volant,carnivore,terrestrial,terrestrial,74,endo,,,,,NT,stable,Buteo_solitarius,,,,
Buteo_solitarius,Aves,14.66666667,4,0.079739812,18.46370016,1.134951898,3.715366818,16.66666667,4,48,74,0.587081033,1st year survival,1.010268291,505,yes,oviparous,volant,carnivore,terrestrial,terrestrial,74,endo,,,,,NT,stable,Buteo_solitarius,,,,
Buteo_solitarius,Aves,9.333333333,4,0.160957712,16.54452841,1.554934212,3.681615803,16.66666667,4,40,66,0.549617571,1st year survival,1.032355996,505,yes,oviparous,volant,carnivore,terrestrial,terrestrial,66,endo,,,,,NT,stable,Buteo_solitarius,,,,
Calidris_temminckii,Aves,3.278688525,1,0.070045665,6.640666065,1.175588663,1.991614545,3.278688525,3,10,14,0.60879963,1 year,0.765045665,25.7,yes,oviparous,volant,insectivore,terrestrial,terrestrial,14,endo,,,,,LC,NA,Calidris_temminckii,,,,
Calidris_temminckii,Aves,3.278688525,1,0.216610452,4.987625834,1.175588663,1.97414639,3.278688525,3,10,14,0.616149603,1 year,0.911610452,25.7,yes,oviparous,volant,insectivore,terrestrial,terrestrial,14,endo,,,,,LC,NA,Calidris_temminckii,,,,
Calyptorhynchus_lathami,Aves,8.034482759,3,0.1711829,11.85238075,1.372409869,3.317123052,11.49425287,3,30,48,0.571476137,Age 0,1.0343689,431.975,yes,oviparous,volant,herbivore,arboreal,terrestrial,48,endo,,,,,LC,decreasing,Calyptorhynchus_lathami,,,,
Calyptorhynchus_lathami,Aves,8.034482759,5,0.170327979,13.87669384,1.372409869,3.304281125,11.49425287,5,30,48,0.575942603,Age 0,1.033732233,431.975,yes,oviparous,volant,herbivore,arboreal,terrestrial,48,endo,,,,,LC,decreasing,Calyptorhynchus_lathami,,,,
Cebus_capucinus,Mammalia,21.42432665,7,0.072630012,29.36270287,1.240529636,4.251218442,27.11291884,8,76,121,0.566949518,0 yrs,1.020886989,2655,yes,viviparous,arboreal,omnivore,arboreal,terrestrial,121,endo,,,,,NA,NA,Cebus_capucinus,,,,
Centrocercus_minimus,Aves,1.616675,3,0.206534096,4.171010349,1.118844035,0.999601269,1.9375,4,5,7,0.70064044,Chick,0.603467166,1650,yes,oviparous,volant,omnivore,terrestrial,terrestrial,7,endo,,,,,E,decreasing,Centrocercus_minimus,,,,
